CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
flag-china,"The flag for China, which may show as the letters CN on some platforms.",The Flag: China emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇳 Regional Indicator Symbol Letter N.These display as a single emoji on supported platforms.,Flag: China was added to Emoji 1.0 in 2015.,
flag-christmas-island,"The flag for Christmas Island, which may show as the letters CX on some platforms.",The Flag: Christmas Island emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇽 Regional Indicator Symbol Letter X.These display as a single emoji on supported platforms.,Flag: Christmas Island was added to Emoji 1.0 in 2015.,
flag-clipperton-island,"The flag for Clipperton Island, which may show as the letters CP on some platforms. Uses the same flag as France.",The Flag: Clipperton Island emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇵 Regional Indicator Symbol Letter P.These display as a single emoji on supported platforms.,Flag: Clipperton Island was added to Emoji 1.0 in 2015.,
flag-cocos-keeling-islands,,The Flag: Cocos (Keeling) Islands emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C.These display as a single emoji on supported platforms.,Flag: Cocos (Keeling) Islands was added to Emoji 1.0 in 2015.,
flag-colombia,"The flag for Colombia, which may show as the letters CO on some platforms.",The Flag: Colombia emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.,Flag: Colombia was added to Emoji 1.0 in 2015.,
flag-comoros,"The flag for Comoros, which may show as the letters KM on some platforms.",The Flag: Comoros emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Comoros was added to Emoji 1.0 in 2015.,
flag-cook-islands,"The flag for Cook Islands, which may show as the letters CK on some platforms.",The Flag: Cook Islands emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: Cook Islands was added to Emoji 1.0 in 2015.,
flag-costa-rica,"The flag for Costa Rica, which may show as the letters CR on some platforms.",The Flag: Costa Rica emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Costa Rica was added to Emoji 1.0 in 2015.,
flag-croatia,"The flag for Croatia, which may show as the letters HR on some platforms.",The Flag: Croatia emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Croatia was added to Emoji 1.0 in 2015.,
flag-cuba,"The flag for Cuba, which may show as the letters CU on some platforms.",The Flag: Cuba emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: Cuba was added to Emoji 1.0 in 2015.,
flag-cyprus,"The flag for Cyprus, which may show as the letters CY on some platforms.",The Flag: Cyprus emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇾 Regional Indicator Symbol Letter Y.These display as a single emoji on supported platforms.,Flag: Cyprus was added to Emoji 1.0 in 2015.,
flag-czechia,"The flag for Czechia, which may show as the letters CZ on some platforms. Also known as Czech Republic.",The Flag: Czechia emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇿 Regional Indicator Symbol Letter Z.These display as a single emoji on supported platforms.,Flag: Czechia was added to Emoji 1.0 in 2015.,
flag-denmark,"The flag for Denmark, which may show as the letters DK on some platforms.",The Flag: Denmark emoji is a flag sequence combining 🇩 Regional Indicator Symbol Letter D and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: Denmark was added to Emoji 1.0 in 2015.,
flag-diego-garcia,"The flag for Diego Garcia, which may show as the letters DG on some platforms. The same flag is used for British Indian Ocean Territory.",The Flag: Diego Garcia emoji is a flag sequence combining 🇩 Regional Indicator Symbol Letter D and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Diego Garcia was added to Emoji 1.0 in 2015.,
flag-djibouti,"The flag for Djibouti, which may show as the letters DJ on some platforms.",The Flag: Djibouti emoji is a flag sequence combining 🇩 Regional Indicator Symbol Letter D and 🇯 Regional Indicator Symbol Letter J.These display as a single emoji on supported platforms.,Flag: Djibouti was added to Emoji 1.0 in 2015.,
flag-dominica,"The flag for Dominica, which may show as the letters DM on some platforms.",The Flag: Dominica emoji is a flag sequence combining 🇩 Regional Indicator Symbol Letter D and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Dominica was added to Emoji 1.0 in 2015.,
flag-dominican-republic,"The flag for Dominican Republic, which may show as the letters DO on some platforms.",The Flag: Dominican Republic emoji is a flag sequence combining 🇩 Regional Indicator Symbol Letter D and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.,Flag: Dominican Republic was added to Emoji 1.0 in 2015.,
flag-ecuador,"The flag for Ecuador, which may show as the letters EC on some platforms.",The Flag: Ecuador emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇨 Regional Indicator Symbol Letter C.These display as a single emoji on supported platforms.,Flag: Ecuador was added to Emoji 1.0 in 2015.,
flag-egypt,"The flag for Egypt, which may show as the letters EG on some platforms.",The Flag: Egypt emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Egypt was added to Emoji 1.0 in 2015.,
flag-el-salvador,"The flag for El Salvador, which may show as the letters SV on some platforms.",The Flag: El Salvador emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇻 Regional Indicator Symbol Letter V.These display as a single emoji on supported platforms.,Flag: El Salvador was added to Emoji 1.0 in 2015.,
flag-england,"The flag for England, a country in the United Kingdom. May show as the letters gbeng.","The Flag: England emoji is a tag sequence combining 🏴 Black Flag, 󠁧 Tag Latin Small Letter G, 󠁢 Tag Latin Small Letter B, 󠁥 Tag Latin Small Letter E, 󠁮 Tag Latin Small Letter N and 󠁿 Cancel Tag.These display as a single emoji on supported platforms.",Flag: England was added to Emoji 5.0 in 2017.,
flag-equatorial-guinea,"The flag for Equatorial Guinea, which may show as the letters GQ on some platforms.",The Flag: Equatorial Guinea emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇶 Regional Indicator Symbol Letter Q.These display as a single emoji on supported platforms.,Flag: Equatorial Guinea was added to Emoji 1.0 in 2015.,
flag-eritrea,"The flag for Eritrea, which may show as the letters ER on some platforms.",The Flag: Eritrea emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Eritrea was added to Emoji 1.0 in 2015.,
flag-estonia,"The flag for Estonia, which may show as the letters EE on some platforms.",The Flag: Estonia emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Estonia was added to Emoji 1.0 in 2015.,
flag-eswatini,"The flag for Swaziland, which may show as the letters SZ on some platforms.",The Flag: Eswatini emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇿 Regional Indicator Symbol Letter Z.These display as a single emoji on supported platforms.,Flag: Eswatini was added to Emoji 1.0 in 2015.,
flag-ethiopia,"The flag for Ethiopia, which may show as the letters ET on some platforms.",The Flag: Ethiopia emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Ethiopia was added to Emoji 1.0 in 2015.,
flag-european-union,"The flag for European Union, which may show as the letters EU on some platforms.",The Flag: European Union emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: European Union was added to Emoji 1.0 in 2015.,
flag-falkland-islands,"The flag for Falkland Islands (Malvinas), which may show as the letters FK on some platforms.",The Flag: Falkland Islands emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: Falkland Islands was added to Emoji 1.0 in 2015.,
flag-faroe-islands,"The flag for Faroe Islands, which may show as the letters FO on some platforms.",The Flag: Faroe Islands emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.,Flag: Faroe Islands was added to Emoji 1.0 in 2015.,
flag-fiji,"The flag for Fiji, which may show as the letters FJ on some platforms.",The Flag: Fiji emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇯 Regional Indicator Symbol Letter J.These display as a single emoji on supported platforms.,Flag: Fiji was added to Emoji 1.0 in 2015.,
flag-finland,"The flag for Finland, which may show as the letters FI on some platforms.",The Flag: Finland emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇮 Regional Indicator Symbol Letter I.These display as a single emoji on supported platforms.,Flag: Finland was added to Emoji 1.0 in 2015.,
flag-france,"The flag for France, which may show as the letters FR on some platforms.",The Flag: France emoji is a flag sequence combining 🇫 Regional Indicator Symbol Letter F and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: France was added to Emoji 1.0 in 2015.,
flag-french-guiana,"The flag for French Guiana, which may show as the letters GF on some platforms.",The Flag: French Guiana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇫 Regional Indicator Symbol Letter F.These display as a single emoji on supported platforms.,Flag: French Guiana was added to Emoji 1.0 in 2015.,
flag-french-polynesia,"The flag for French Polynesia, which may show as the letters PF on some platforms.",The Flag: French Polynesia emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇫 Regional Indicator Symbol Letter F.These display as a single emoji on supported platforms.,Flag: French Polynesia was added to Emoji 1.0 in 2015.,
flag-french-southern-territories,"The flag for French Southern Territories, which may show as the letters TF on some platforms.",The Flag: French Southern Territories emoji is a flag sequence combining 🇹 Regional Indicator Symbol Letter T and 🇫 Regional Indicator Symbol Letter F.These display as a single emoji on supported platforms.,Flag: French Southern Territories was added to Emoji 1.0 in 2015.,
flag-gabon,"The flag for Gabon, which may show as the letters GA on some platforms.",The Flag: Gabon emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇦 Regional Indicator Symbol Letter A.These display as a single emoji on supported platforms.,Flag: Gabon was added to Emoji 1.0 in 2015.,
flag-gambia,"The flag for Gambia, which may show as the letters GM on some platforms.",The Flag: Gambia emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Gambia was added to Emoji 1.0 in 2015.,
flag-georgia,"The flag for Georgia, which may show as the letters GE on some platforms.",The Flag: Georgia emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Georgia was added to Emoji 1.0 in 2015.,
flag-germany,"The flag for Germany, which may show as the letters DE on some platforms",The Flag: Germany emoji is a flag sequence combining 🇩 Regional Indicator Symbol Letter D and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Germany was added to Emoji 1.0 in 2015.,
flag-ghana,"The flag for Ghana, which may show as the letters GH on some platforms.",The Flag: Ghana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇭 Regional Indicator Symbol Letter H.These display as a single emoji on supported platforms.,Flag: Ghana was added to Emoji 1.0 in 2015.,
flag-gibraltar,"The flag for Gibraltar, which may show as the letters GI on some platforms.",The Flag: Gibraltar emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇮 Regional Indicator Symbol Letter I.These display as a single emoji on supported platforms.,Flag: Gibraltar was added to Emoji 1.0 in 2015.,
flag-greece,"The flag for Greece, which may show as the letters GR on some platforms.",The Flag: Greece emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Greece was added to Emoji 1.0 in 2015.,
flag-greenland,"The flag for Greenland, which may show as the letters GL on some platforms.",The Flag: Greenland emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇱 Regional Indicator Symbol Letter L.These display as a single emoji on supported platforms.,Flag: Greenland was added to Emoji 1.0 in 2015.,
flag-grenada,"The flag for Grenada, which may show as the letters GD on some platforms.",The Flag: Grenada emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇩 Regional Indicator Symbol Letter D.These display as a single emoji on supported platforms.,Flag: Grenada was added to Emoji 1.0 in 2015.,
flag-guadeloupe,"The flag for Guadeloupe, which may show as the letters GP on some platforms. The latest versions of iOS and OS X use the local unofficial flag, based on the coat of arms of Guadeloupe’s capital Basse-Terre. This is used instead of the Flag For France, which is the official flag of Guadeloupe.",The Flag: Guadeloupe emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇵 Regional Indicator Symbol Letter P.These display as a single emoji on supported platforms.,Flag: Guadeloupe was added to Emoji 1.0 in 2015.,
flag-guam,"The flag for Guam, which may show as the letters GU on some platforms.",The Flag: Guam emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: Guam was added to Emoji 1.0 in 2015.,
flag-guatemala,"The flag for Guatemala, which may show as the letters GT on some platforms.",The Flag: Guatemala emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Guatemala was added to Emoji 1.0 in 2015.,
flag-guernsey,"The flag for Guernsey, which may show as the letters GG on some platforms.",The Flag: Guernsey emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Guernsey was added to Emoji 1.0 in 2015.,
flag-guinea-bissau,"The flag for Guinea-Bissau, which may show as the letters GW on some platforms.",The Flag: Guinea-Bissau emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇼 Regional Indicator Symbol Letter W.These display as a single emoji on supported platforms.,Flag: Guinea-Bissau was added to Emoji 1.0 in 2015.,
flag-guinea,"The flag for Guinea, which may show as the letters GN on some platforms.",The Flag: Guinea emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇳 Regional Indicator Symbol Letter N.These display as a single emoji on supported platforms.,Flag: Guinea was added to Emoji 1.0 in 2015.,
flag-guyana,"The flag for Guyana, which may show as the letters GY on some platforms.",The Flag: Guyana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇾 Regional Indicator Symbol Letter Y.These display as a single emoji on supported platforms.,Flag: Guyana was added to Emoji 1.0 in 2015.,
flag-haiti,"The flag for Haiti, which may show as the letters HT on some platforms.",The Flag: Haiti emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Haiti was added to Emoji 1.0 in 2015.,
flag-honduras,"The flag for Honduras, which may show as the letters HN on some platforms.",The Flag: Honduras emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇳 Regional Indicator Symbol Letter N.These display as a single emoji on supported platforms.,Flag: Honduras was added to Emoji 1.0 in 2015.,
flag-hong-kong-sar-china,"The flag for Hong Kong, which may show as the letters HK on some platforms.",The Flag: Hong Kong SAR China emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: Hong Kong SAR China was added to Emoji 1.0 in 2015.,
flag-hungary,"The flag for Hungary, which may show as the letters HU on some platforms.",The Flag: Hungary emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: Hungary was added to Emoji 1.0 in 2015.,
flag-iceland,"The flag for Iceland, which may show as the letters IS on some platforms.",The Flag: Iceland emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇸 Regional Indicator Symbol Letter S.These display as a single emoji on supported platforms.,Flag: Iceland was added to Emoji 1.0 in 2015.,
flag-in-hole,"A red, triangular flag shown sitting in the hole of a golf course green. Some versions of this emoji also include golf balls, with an early iOS design simply depicting a single golf ball. Android previously displayed this emoji as the head of a putter (golf club) hitting a golf ball, while Microsoft used to show a single triangular flag. Not to be confused with the Triangular Flag on Post emoji.",,Flag in Hole was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.,
flag-india,"The flag for India, which may show as the letters IN on some platforms.",The Flag: India emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇳 Regional Indicator Symbol Letter N.These display as a single emoji on supported platforms.,Flag: India was added to Emoji 1.0 in 2015.,
flag-indonesia,"The flag for Indonesia, which may show as the letters ID on some platforms.",The Flag: Indonesia emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇩 Regional Indicator Symbol Letter D.These display as a single emoji on supported platforms.,Flag: Indonesia was added to Emoji 1.0 in 2015.,
flag-iran,"The flag for Iran, which may show as the letters IR on some platforms.",The Flag: Iran emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Iran was added to Emoji 1.0 in 2015.,
flag-iraq,"The flag for Iraq, which may show as the letters IQ on some platforms.",The Flag: Iraq emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇶 Regional Indicator Symbol Letter Q.These display as a single emoji on supported platforms.,Flag: Iraq was added to Emoji 1.0 in 2015.,
flag-ireland,"The flag for Ireland, which may show as the letters IE on some platforms.",The Flag: Ireland emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Ireland was added to Emoji 1.0 in 2015.,
flag-isle-of-man,"The flag for Isle of Man, which may show as the letters IM on some platforms.",The Flag: Isle of Man emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Isle of Man was added to Emoji 1.0 in 2015.,
flag-israel,"The flag for Israel, which may show as the letters IL on some platforms.",The Flag: Israel emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇱 Regional Indicator Symbol Letter L.These display as a single emoji on supported platforms.,Flag: Israel was added to Emoji 1.0 in 2015.,
flag-italy,"The flag for Italy, which may show as the letters IT on some platforms.",The Flag: Italy emoji is a flag sequence combining 🇮 Regional Indicator Symbol Letter I and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Italy was added to Emoji 1.0 in 2015.,
flag-jamaica,"The flag for Jamaica, which may show as the letters JM on some platforms.",The Flag: Jamaica emoji is a flag sequence combining 🇯 Regional Indicator Symbol Letter J and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.,Flag: Jamaica was added to Emoji 1.0 in 2015.,
flag-japan,"The flag for Japan, which may show as the letters JP on some platforms.",The Flag: Japan emoji is a flag sequence combining 🇯 Regional Indicator Symbol Letter J and 🇵 Regional Indicator Symbol Letter P.These display as a single emoji on supported platforms.,Flag: Japan was added to Emoji 1.0 in 2015.,
flag-jersey,"The flag for Jersey, which may show as the letters JE on some platforms.",The Flag: Jersey emoji is a flag sequence combining 🇯 Regional Indicator Symbol Letter J and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Jersey was added to Emoji 1.0 in 2015.,
flag-jordan,"The flag for Jordan, which may show as the letters JO on some platforms.",The Flag: Jordan emoji is a flag sequence combining 🇯 Regional Indicator Symbol Letter J and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.,Flag: Jordan was added to Emoji 1.0 in 2015.,
flag-kazakhstan,"The flag for Kazakhstan, which may show as the letters KZ on some platforms.",The Flag: Kazakhstan emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇿 Regional Indicator Symbol Letter Z.These display as a single emoji on supported platforms.,Flag: Kazakhstan was added to Emoji 1.0 in 2015.,
flag-kenya,"The flag for Kenya, which may show as the letters KE on some platforms.",The Flag: Kenya emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.,Flag: Kenya was added to Emoji 1.0 in 2015.,
flag-kiribati,"The flag for Kiribati, which may show as the letters KI on some platforms.",The Flag: Kiribati emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇮 Regional Indicator Symbol Letter I.These display as a single emoji on supported platforms.,Flag: Kiribati was added to Emoji 1.0 in 2015.,
flag-kosovo,"The flag for Kosovo, which may show as the letters XK on some platforms.",The Flag: Kosovo emoji is a flag sequence combining 🇽 Regional Indicator Symbol Letter X and 🇰 Regional Indicator Symbol Letter K.These display as a single emoji on supported platforms.,Flag: Kosovo was added to Emoji 1.0 in 2015.,
flag-kuwait,"The flag for Kuwait, which may show as the letters KW on some platforms.",The Flag: Kuwait emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇼 Regional Indicator Symbol Letter W.These display as a single emoji on supported platforms.,Flag: Kuwait was added to Emoji 1.0 in 2015.,
flag-kyrgyzstan,"The flag for Kyrgyzstan, which may show as the letters KG on some platforms.",The Flag: Kyrgyzstan emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Kyrgyzstan was added to Emoji 1.0 in 2015.,
flag-laos,"The flag for Laos, which may show as the letters LA on some platforms.",The Flag: Laos emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇦 Regional Indicator Symbol Letter A.These display as a single emoji on supported platforms.,Flag: Laos was added to Emoji 1.0 in 2015.,
flag-latvia,"The flag for Latvia, which may show as the letters LV on some platforms.",The Flag: Latvia emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇻 Regional Indicator Symbol Letter V.These display as a single emoji on supported platforms.,Flag: Latvia was added to Emoji 1.0 in 2015.,
flag-lebanon,"The flag for Lebanon, which may show as the letters LB on some platforms.",The Flag: Lebanon emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇧 Regional Indicator Symbol Letter B.These display as a single emoji on supported platforms.,Flag: Lebanon was added to Emoji 1.0 in 2015.,
flag-lesotho,"The flag for Lesotho, which may show as the letters LS on some platforms.",The Flag: Lesotho emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇸 Regional Indicator Symbol Letter S.These display as a single emoji on supported platforms.,Flag: Lesotho was added to Emoji 1.0 in 2015.,
flag-liberia,"The flag for Liberia, which may show as the letters LR on some platforms.",The Flag: Liberia emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Liberia was added to Emoji 1.0 in 2015.,
flag-libya,"The flag for Libya, which may show as the letters LY on some platforms.",The Flag: Libya emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇾 Regional Indicator Symbol Letter Y.These display as a single emoji on supported platforms.,Flag: Libya was added to Emoji 1.0 in 2015.,
flag-liechtenstein,"The flag for Liechtenstein, which may show as the letters LI on some platforms.",The Flag: Liechtenstein emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇮 Regional Indicator Symbol Letter I.These display as a single emoji on supported platforms.,Flag: Liechtenstein was added to Emoji 1.0 in 2015.,
flag-lithuania,"The flag for Lithuania, which may show as the letters LT on some platforms.",The Flag: Lithuania emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Lithuania was added to Emoji 1.0 in 2015.,
flag-luxembourg,"The flag for Luxembourg, which may show as the letters LU on some platforms",The Flag: Luxembourg emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: Luxembourg was added to Emoji 1.0 in 2015.,
flag-macao-sar-china,"The flag for Macau, which may show as the letters MO on some platforms.",The Flag: Macao Sar China emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.,Flag: Macao Sar China was added to Emoji 1.0 in 2015.,
flag-madagascar,"The flag for Madagascar, which may show as the letters MG on some platforms",The Flag: Madagascar emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,Flag: Madagascar was added to Emoji 1.0 in 2015.,
flag-malawi,"The flag for Malawi, which may show as the letters MW on some platforms.",The Flag: Malawi emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇼 Regional Indicator Symbol Letter W.These display as a single emoji on supported platforms.,Flag: Malawi was added to Emoji 1.0 in 2015.,
flag-malaysia,"The flag for Malaysia, which may show as the letters MY on some platforms.",The Flag: Malaysia emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇾 Regional Indicator Symbol Letter Y.These display as a single emoji on supported platforms.,Flag: Malaysia was added to Emoji 1.0 in 2015.,
flag-maldives,"The flag for Maldives, which may show as the letters MV on some platforms.",The Flag: Maldives emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇻 Regional Indicator Symbol Letter V.These display as a single emoji on supported platforms.,Flag: Maldives was added to Emoji 1.0 in 2015.,
flag-mali,"The flag for Mali, which may show as the letters ML on some platforms.",The Flag: Mali emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇱 Regional Indicator Symbol Letter L.These display as a single emoji on supported platforms.,Flag: Mali was added to Emoji 1.0 in 2015.,
flag-malta,"The flag for Malta, which may show as the letters MT on some platforms.",The Flag: Malta emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Malta was added to Emoji 1.0 in 2015.,
flag-marshall-islands,"The flag for Marshall Islands, which may show as the letters MH on some platforms.",The Flag: Marshall Islands emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇭 Regional Indicator Symbol Letter H.These display as a single emoji on supported platforms.,Flag: Marshall Islands was added to Emoji 1.0 in 2015.,
flag-martinique,"The flag for Martinique, which may show as the letters MQ on some platforms. Most platforms display the historical snake flag of Martinique instead of the Flag For France, which is the official flag of Martinique. As of 2021, the newer Ipséité flag is yet to be in use by major vendors.",The Flag: Martinique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇶 Regional Indicator Symbol Letter Q.These display as a single emoji on supported platforms.,Flag: Martinique was added to Emoji 1.0 in 2015.,
flag-mauritania,"The flag for Mauritania, which may show as the letters MR on some platforms. This design changed in August 2017, adding a red band at the top and bottom. Only newer vendor updates display the new flag design.",The Flag: Mauritania emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇷 Regional Indicator Symbol Letter R.These display as a single emoji on supported platforms.,Flag: Mauritania was added to Emoji 1.0 in 2015.,
flag-mauritius,"The flag for Mauritius, which may show as the letters MU on some platforms.",The Flag: Mauritius emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.,Flag: Mauritius was added to Emoji 1.0 in 2015.,
flag-mayotte,"The flag for Mayotte, which may show as the letters YT on some platforms.",The Flag: Mayotte emoji is a flag sequence combining 🇾 Regional Indicator Symbol Letter Y and 🇹 Regional Indicator Symbol Letter T.These display as a single emoji on supported platforms.,Flag: Mayotte was added to Emoji 1.0 in 2015.,
